title,doctype,keywords,collection,docno,relasedec,origclass,pagect,doccreation,docrelease,seqno,caseno,pubdate,file
CURRENT INTELLIGENCE BULLETIN - 1954/06/26,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001370,RIPPUB,U,8,"August 20, 2019","August 30, 2019",,,"June 26, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689427%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/04/15,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,03172430,RIPPUB,U,13,"February 25, 2020","February 27, 2020",,,"April 15, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787461%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/06/20,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02003074,RIPPUB,U,9,"March 18, 2019","March 28, 2019",,,"June 20, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587378%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/11/23,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02989933,RIPPUB,U,12,"February 25, 2020","February 27, 2020",,,"November 23, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787764%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/07/01,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,02987874,RIPPUB,U,19,"January 27, 2020","January 30, 2020",,,"July 1, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15777384%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/05/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03169490,RIPPUB,U,20,"January 27, 2020","January 30, 2020",,,"May 1, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772450%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/11/09,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02995583,RIPPUB,U,11,"September 20, 2019","September 26, 2019",,,"November 9, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722002%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/03/08,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03004995,RIPPUB,U,10,"March 17, 2020","March 26, 2020",,,"March 8, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798851%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/01/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02000176,RIPPUB,U,21,"August 14, 2020","August 27, 2020",,,"January 19, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815594%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/01/18,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03031264,RIPPUB,U,11,"March 17, 2020","March 26, 2020",,,"January 18, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798979%5D.pdf
